2021-08-26 15:20:26.353443;Gabriel Vieira#5152;//gaal 1 1 0 0 -2 2 2 9 -6 -6 0 0 1 4 -2 -2;[[0, 0, 1]]
2021-08-26 15:20:27.588062;Gabriel Vieira#5152;//gaal 1 1 0 0 -2 2 2 9 -6 -6 0 0 1 4 -2 -2;Enviado o print da Q4 para a pessoa
2021-08-26 15:21:20.030974;Walkeer#7635;//gaal 2;Enviado o print da Q2 para a pessoa
2021-08-26 15:21:58.108080;selipenes#2226;//gaal 4;Enviado o print da Q4 para a pessoa
2021-08-26 15:22:32.425375;Victor Lopes#2864;//gaal 5;Enviado o print da Q5 para a pessoa
2021-08-26 15:23:53.346545;Pedafonso#8449;//gaal 5;Enviado o print da Q5 para a pessoa
2021-08-26 15:26:31.200238;KHRYSS#5731;//gaal 4;Enviado o print da Q4 para a pessoa
2021-08-26 15:26:53.368389;Walkeer#7635;//gaal 3;Enviado o print da Q3 para a pessoa
2021-08-26 15:28:07.199106;Bruno mesquita#6106;//gaal 5;Enviado o print da Q5 para a pessoa
2021-08-26 15:31:04.547794;Victor Lopes#2864;//gaal 4;Enviado o print da Q4 para a pessoa
2021-08-26 15:31:04.786667;Larvitar81#3777;//gaal 4;Enviado o print da Q4 para a pessoa
2021-08-26 15:33:29.664726;juliocastro#0105;//gaal 3;Enviado o print da Q3 para a pessoa
2021-08-26 15:34:47.282206;ticia#2635;//gaal 1 -2 2 0 -6 3 4 0 0 2 -4 2 -2 -2 1 2;[[-2, 2, 0]]
2021-08-26 15:34:49.613973;ticia#2635;//gaal 1 -2 2 0 -6 3 4 0 0 2 -4 2 -2 -2 1 2;Enviado o print da Q4 para a pessoa
2021-08-26 15:35:18.919320;ticia#2635;//gaal 2;Enviado o print da Q2 para a pessoa
2021-08-26 15:35:34.018436;selipenes#2226;//gaal 5;Enviado o print da Q5 para a pessoa
2021-08-26 15:35:39.655393;Breno Max#6891;//gaal 1 2 9 9 0 2 0 1 3 0 0 1 3 -2 -8 -6;[[0, 2, 0]]
2021-08-26 15:35:40.198109;Victor Lopes#2864;//gaal 4;Enviado o print da Q4 para a pessoa
2021-08-26 15:35:41.465521;Breno Max#6891;//gaal 1 2 9 9 0 2 0 1 3 0 0 1 3 -2 -8 -6;Enviado o print da Q4 para a pessoa
2021-08-26 15:35:41.529202;juliocastro#0105;//gaal 4;Enviado o print da Q4 para a pessoa
2021-08-26 15:35:42.043571;Walkeer#7635;//gaal 5;Enviado o print da Q5 para a pessoa
2021-08-26 15:40:13.625670;ticia#2635;//gaal 3;Enviado o print da Q3 para a pessoa
2021-08-26 15:40:34.233117;migueel#5779;//gaal 1 3 1 1 6 2 1 0 1 1 0 0 1 6 2 0;[[0, 1, 1]]
2021-08-26 15:40:35.399284;migueel#5779;//gaal 1 3 1 1 6 2 1 0 1 1 0 0 1 6 2 0;Enviado o print da Q4 para a pessoa
2021-08-26 15:41:18.297122;Breno Max#6891;//gaal 4;Enviado o print da Q4 para a pessoa
2021-08-26 15:41:21.094916;Matheuz#0792;//gaal 1 -2 1 -1 1 1 1 4 -5 1  8 2 6 - 1 1 1;Mandou o exemplo
2021-08-26 15:42:11.717434;medlef#0372;//gaal 1 17 -4 18 1 1 1 3 0 2 2 -1 3 -7 2 -8;[[1, 1, 1]]
2021-08-26 15:42:13.029798;medlef#0372;//gaal 1 17 -4 18 1 1 1 3 0 2 2 -1 3 -7 2 -8;Enviado o print da Q4 para a pessoa
2021-08-26 15:42:38.780604;Matheuz#0792;//gaal  1 -2 1 -1 1 1 1 1 4 -5 1 8 2 6 -1 1 1;Mandou o exemplo
2021-08-26 15:42:58.754027;Borges#0591;//gaal 1 1 1 1 -1 2 1 -4 2 0 -2 10 6 0 0 -2;[[0, 0, -2]]
2021-08-26 15:42:59.954364;Borges#0591;//gaal 1 1 1 1 -1 2 1 -4 2 0 -2 10 6 0 0 -2;Enviado o print da Q4 para a pessoa
2021-08-26 15:43:55.144034;fe_fernandes#1787;//gaal 1 2 -1 1 -1 -2 0 5 0 2 2 -2 0 7 -1 3;[[2, -2, 0]]
